Data,Dia,Mês,Ano,Data_abr,Top,Titulo,Autor,Spotify_link
2022-02-05,5,2,2022,2/2022,5,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-03-05,5,3,2022,3/2022,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-03-05,5,3,2022,3/2022,2,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-03-05,5,3,2022,3/2022,3,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-03-05,5,3,2022,3/2022,4,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-03-05,5,3,2022,3/2022,5,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-04-02,2,4,2022,4/2022,1,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-04-02,2,4,2022,4/2022,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-04-02,2,4,2022,4/2022,3,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-04-02,2,4,2022,4/2022,4,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-04-02,2,4,2022,4/2022,5,Ghost,Justin Bieber,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
2022-05-07,7,5,2022,5/2022,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-05-07,7,5,2022,5/2022,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-05-07,7,5,2022,5/2022,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-05-07,7,5,2022,5/2022,4,Big Energy,Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2022-06-04,4,6,2022,6/2022,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-06-04,4,6,2022,6/2022,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
