Data,Dia,Mês,Ano,Data_abr,Top,Titulo,Autor,Spotify_link
2018-12-01,1,12,2018,12/2018,5,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
2019-01-05,5,1,2019,1/2019,1,"Thank U, Next",Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-01-05,5,1,2019,1/2019,2,Without Me,Halsey,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
2019-01-05,5,1,2019,1/2019,3,All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2019-01-05,5,1,2019,1/2019,4,Sicko Mode,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2019-01-05,5,1,2019,1/2019,5,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2019-02-02,2,2,2019,2/2019,1,7 Rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-02-02,2,2,2019,2/2019,2,Without Me,Halsey,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
2019-02-02,2,2,2019,2/2019,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2019-02-02,2,2,2019,2/2019,4,"Thank U, Next",Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-02-02,2,2,2019,2/2019,5,Sicko Mode,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2019-03-02,2,3,2019,3/2019,1,7 Rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-03-02,2,3,2019,3/2019,2,Without Me,Halsey,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
2019-03-02,2,3,2019,3/2019,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2019-03-02,2,3,2019,3/2019,4,"Thank U, Next",Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-03-02,2,3,2019,3/2019,5,Please Me,Cardi B & Bruno Mars,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
2019-04-06,6,4,2019,4/2019,1,7 Rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-04-06,6,4,2019,4/2019,2,Wow.,Post Malone,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
2019-04-06,6,4,2019,4/2019,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2019-04-06,6,4,2019,4/2019,4,Without Me,Halsey,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
2019-04-06,6,4,2019,4/2019,5,Please Me,Cardi B & Bruno Mars,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
2019-05-04,4,5,2019,5/2019,2,Wow.,Post Malone,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
2019-05-04,4,5,2019,5/2019,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2019-05-04,4,5,2019,5/2019,4,7 Rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019-05-04,4,5,2019,5/2019,5,Sucker,Jonas Brothers,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
2019-06-01,1,6,2019,6/2019,2,I Don't Care,Ed Sheeran & Justin Bieber,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2019-06-01,1,6,2019,6/2019,3,Bad Guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2019-06-01,1,6,2019,6/2019,4,Sucker,Jonas Brothers,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
2019-06-01,1,6,2019,6/2019,5,Talk,Khalid,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
2019-07-06,6,7,2019,7/2019,2,Senorita,Shawn Mendes & Camila Cabello,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2019-07-06,6,7,2019,7/2019,3,Bad Guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2019-07-06,6,7,2019,7/2019,4,Talk,Khalid,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
2019-07-06,6,7,2019,7/2019,5,I Don't Care,Ed Sheeran & Justin Bieber,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2019-08-03,3,8,2019,8/2019,2,Bad Guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2019-08-03,3,8,2019,8/2019,3,Senorita,Shawn Mendes & Camila Cabello,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2019-08-03,3,8,2019,8/2019,4,Talk,Khalid,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
2019-08-03,3,8,2019,8/2019,5,Truth Hurts,Lizzo,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
2019-09-07,7,9,2019,9/2019,1,Truth Hurts,Lizzo,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
2019-09-07,7,9,2019,9/2019,2,Senorita,Shawn Mendes & Camila Cabello,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2019-09-07,7,9,2019,9/2019,3,Bad Guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2019-09-07,7,9,2019,9/2019,4,You Need To Calm Down,Taylor Swift,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
2019-10-05,5,10,2019,10/2019,1,Truth Hurts,Lizzo,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
2019-10-05,5,10,2019,10/2019,2,Senorita,Shawn Mendes & Camila Cabello,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2019-10-05,5,10,2019,10/2019,3,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
2019-11-02,2,11,2019,11/2019,1,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
2019-11-02,2,11,2019,11/2019,2,Truth Hurts,Lizzo,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
2019-11-02,2,11,2019,11/2019,3,Senorita,Shawn Mendes & Camila Cabello,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2019-11-02,2,11,2019,11/2019,4,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2019-12-07,7,12,2019,12/2019,1,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2019-12-07,7,12,2019,12/2019,2,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
2019-12-07,7,12,2019,12/2019,3,Good As Hell,Lizzo,https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV
2019-12-07,7,12,2019,12/2019,4,Memories,Maroon 5,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
2019-12-07,7,12,2019,12/2019,5,Roxanne,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
2020-01-04,4,1,2020,1/2020,1,All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2020-01-04,4,1,2020,1/2020,2,Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
2020-01-04,4,1,2020,1/2020,3,Jingle Bell Rock,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
2020-01-04,4,1,2020,1/2020,4,A Holly Jolly Christmas,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
2020-01-04,4,1,2020,1/2020,5,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2020-02-01,1,2,2020,2/2020,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2020-02-01,1,2,2020,2/2020,4,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2020-02-01,1,2,2020,2/2020,5,Memories,Maroon 5,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
2020-03-07,7,3,2020,3/2020,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2020-03-07,7,3,2020,3/2020,3,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2020-03-07,7,3,2020,3/2020,4,ON,BTS,https://open.spotify.com/track/0fZRNhPJ4AGmwY7rkpdbqK
2020-03-07,7,3,2020,3/2020,5,Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
2020-04-04,4,4,2020,4/2020,1,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-04-04,4,4,2020,4/2020,2,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2020-04-04,4,4,2020,4/2020,3,Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
2020-04-04,4,4,2020,4/2020,4,Heartless,The Weeknd,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
2020-04-04,4,4,2020,4/2020,5,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2020-05-02,2,5,2020,5/2020,1,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-05-02,2,5,2020,5/2020,2,Toosie Slide,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2020-05-02,2,5,2020,5/2020,3,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2020-05-02,2,5,2020,5/2020,4,Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
2020-06-06,6,6,2020,6/2020,1,Rain On Me,Lady Gaga & Ariana Grande,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
2020-06-06,6,6,2020,6/2020,2,Savage,Megan Thee Stallion,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
2020-06-06,6,6,2020,6/2020,4,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-07-04,4,7,2020,7/2020,2,Savage,Megan Thee Stallion,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
2020-07-04,4,7,2020,7/2020,3,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-07-04,4,7,2020,7/2020,4,Roses,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
2020-08-01,1,8,2020,8/2020,4,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-08-01,1,8,2020,8/2020,5,Roses,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
2020-09-05,5,9,2020,9/2020,1,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
2020-09-05,5,9,2020,9/2020,5,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-10-03,3,10,2020,10/2020,1,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
2020-11-07,7,11,2020,11/2020,1,Positions,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2020-11-07,7,11,2020,11/2020,2,Forever After All,Luke Combs,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
2020-11-07,7,11,2020,11/2020,5,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2020-12-05,5,12,2020,12/2020,1,Life Goes On,BTS,https://open.spotify.com/track/5FVbvttjEvQ8r2BgUcJgNg
2020-12-05,5,12,2020,12/2020,3,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
2020-12-05,5,12,2020,12/2020,4,Positions,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2021-01-02,2,1,2021,1/2021,1,All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2021-01-02,2,1,2021,1/2021,2,Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
2021-01-02,2,1,2021,1/2021,3,Jingle Bell Rock,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
2021-01-02,2,1,2021,1/2021,4,A Holly Jolly Christmas,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
2021-01-02,2,1,2021,1/2021,5,It's The Most Wonderful Time Of The Year,Andy Williams,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
2021-02-06,6,2,2021,2/2021,1,Drivers License,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
2021-02-06,6,2,2021,2/2021,3,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2021-02-06,6,2,2021,2/2021,4,34+35,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
2021-03-06,6,3,2021,3/2021,1,Drivers License,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
2021-03-06,6,3,2021,3/2021,2,Up,Cardi B,https://open.spotify.com/track/2G2ky3ZWjOT3KIMgvWjnvp
2021-03-06,6,3,2021,3/2021,3,Go Crazy,Chris Brown & Young Thug,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
2021-03-06,6,3,2021,3/2021,4,34+35,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
2021-03-06,6,3,2021,3/2021,5,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2021-04-03,3,4,2021,4/2021,2,Up,Cardi B,https://open.spotify.com/track/2G2ky3ZWjOT3KIMgvWjnvp
2021-04-03,3,4,2021,4/2021,3,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
2021-04-03,3,4,2021,4/2021,4,Drivers License,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
2021-04-03,3,4,2021,4/2021,5,Save Your Tears,The Weeknd,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
2021-05-01,1,5,2021,5/2021,1,Rapstar,Polo G,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
2021-05-01,1,5,2021,5/2021,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
2021-05-01,1,5,2021,5/2021,4,Montero (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
2021-06-05,5,6,2021,6/2021,1,Butter,BTS,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS
2021-06-05,5,6,2021,6/2021,2,Good 4 U,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2021-06-05,5,6,2021,6/2021,3,Deja Vu,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
2021-06-05,5,6,2021,6/2021,5,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
2021-07-03,3,7,2021,7/2021,1,Butter,BTS,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS
2021-07-03,3,7,2021,7/2021,2,Good 4 U,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2021-08-07,7,8,2021,8/2021,1,Butter,BTS,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS
2021-08-07,7,8,2021,8/2021,2,Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
2021-08-07,7,8,2021,8/2021,3,Good 4 U,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2021-08-07,7,8,2021,8/2021,4,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2021-08-07,7,8,2021,8/2021,5,Levitating,Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
2021-09-04,4,9,2021,9/2021,1,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2021-09-04,4,9,2021,9/2021,2,Bad Habits,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
2021-09-04,4,9,2021,9/2021,3,Good 4 U,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2021-09-04,4,9,2021,9/2021,5,Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
2021-10-02,2,10,2021,10/2021,1,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2021-10-02,2,10,2021,10/2021,2,Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
2021-10-02,2,10,2021,10/2021,4,Bad Habits,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
2021-10-02,2,10,2021,10/2021,5,Fancy Like,Walker Hayes,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
2021-11-06,6,11,2021,11/2021,1,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2021-11-06,6,11,2021,11/2021,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2021-11-06,6,11,2021,11/2021,3,Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
2021-11-06,6,11,2021,11/2021,4,Fancy Like,Walker Hayes,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
2021-11-06,6,11,2021,11/2021,5,Bad Habits,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
2021-12-04,4,12,2021,12/2021,1,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2021-12-04,4,12,2021,12/2021,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2021-12-04,4,12,2021,12/2021,3,Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
2021-12-04,4,12,2021,12/2021,4,All Too Well (Taylor's Version),Taylor Swift,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
2021-12-04,4,12,2021,12/2021,5,Oh My God,Adele,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
2022-01-01,1,1,2022,1/2022,1,All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2022-01-01,1,1,2022,1/2022,2,Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
2022-01-01,1,1,2022,1/2022,3,Jingle Bell Rock,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
2022-01-01,1,1,2022,1/2022,4,A Holly Jolly Christmas,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
2022-01-01,1,1,2022,1/2022,5,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-02-05,5,2,2022,2/2022,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-02-05,5,2,2022,2/2022,2,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-02-05,5,2,2022,2/2022,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-02-05,5,2,2022,2/2022,4,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
